,DATE,SP500
487,2020-09-09,3398.96
488,2020-09-10,3339.19
489,2020-09-11,3340.97
490,2020-09-14,3383.54
491,2020-09-15,3401.2
492,2020-09-16,3385.49
493,2020-09-17,3357.01
494,2020-09-18,3319.47
495,2020-09-21,3281.06
496,2020-09-22,3315.57
497,2020-09-23,3236.92
498,2020-09-24,3246.59
499,2020-09-25,3298.46
500,2020-09-28,3351.6
501,2020-09-29,3335.47
502,2020-09-30,3363
503,2020-10-01,3380.8
504,2020-10-02,3348.44
505,2020-10-05,3408.63
506,2020-10-06,3360.95
507,2020-10-07,3419.45
508,2020-10-08,3446.83
509,2020-10-09,3477.13
510,2020-10-12,3534.22
511,2020-10-13,3511.93
512,2020-10-14,3488.67
513,2020-10-15,3483.34
514,2020-10-16,3483.81
515,2020-10-19,3426.92
516,2020-10-20,3443.12
517,2020-10-21,3435.56
518,2020-10-22,3453.49
519,2020-10-23,3465.39
520,2020-10-26,3400.97
521,2020-10-27,3390.68
522,2020-10-28,3271.03
523,2020-10-29,3310.11
524,2020-10-30,3269.96
525,2020-11-02,3310.24
526,2020-11-03,3369.16
527,2020-11-04,3443.44
528,2020-11-05,3510.45
529,2020-11-06,3509.44
530,2020-11-09,3550.5
531,2020-11-10,3545.53
532,2020-11-11,3572.66
533,2020-11-12,3537.01
534,2020-11-13,3585.15
535,2020-11-16,3626.91
536,2020-11-17,3609.53
537,2020-11-18,3567.79
538,2020-11-19,3581.87
539,2020-11-20,3557.54
540,2020-11-23,3577.59
541,2020-11-24,3635.41
542,2020-11-25,3629.65
543,2020-11-26,.
544,2020-11-27,3638.35
545,2020-11-30,3621.63
546,2020-12-01,3662.45
547,2020-12-02,3669.01
548,2020-12-03,3666.72
549,2020-12-04,3699.12
550,2020-12-07,3691.96
551,2020-12-08,3702.25
552,2020-12-09,3672.82
553,2020-12-10,3668.1
554,2020-12-11,3663.46
555,2020-12-14,3647.49
556,2020-12-15,3694.62
557,2020-12-16,3701.17
558,2020-12-17,3722.48
559,2020-12-18,3709.41
560,2020-12-21,3694.92
561,2020-12-22,3687.26
562,2020-12-23,3690.01
