,DATE,SP500,month,number
359,3/13/2020,2711.02,2020-03-13,2711.02
360,3/16/2020,2386.13,2020-03-16,2386.13
361,3/17/2020,2529.19,2020-03-17,2529.19
362,3/18/2020,2398.1,2020-03-18,2398.1
363,3/19/2020,2409.39,2020-03-19,2409.39
364,3/20/2020,2304.92,2020-03-20,2304.92
365,3/23/2020,2237.4,2020-03-23,2237.4
366,3/24/2020,2447.33,2020-03-24,2447.33
367,3/25/2020,2475.56,2020-03-25,2475.56
368,3/26/2020,2630.07,2020-03-26,2630.07
369,3/27/2020,2541.47,2020-03-27,2541.47
370,3/30/2020,2626.65,2020-03-30,2626.65
371,3/31/2020,2584.59,2020-03-31,2584.59
372,4/1/2020,2470.5,2020-04-01,2470.5
373,4/2/2020,2526.9,2020-04-02,2526.9
374,4/3/2020,2488.65,2020-04-03,2488.65
375,4/6/2020,2663.68,2020-04-06,2663.68
376,4/7/2020,2659.41,2020-04-07,2659.41
377,4/8/2020,2749.98,2020-04-08,2749.98
378,4/9/2020,2789.82,2020-04-09,2789.82
379,4/10/2020,,2020-04-10,
380,4/13/2020,2761.63,2020-04-13,2761.63
381,4/14/2020,2846.06,2020-04-14,2846.06
382,4/15/2020,2783.36,2020-04-15,2783.36
383,4/16/2020,2799.55,2020-04-16,2799.55
384,4/17/2020,2874.56,2020-04-17,2874.56
385,4/20/2020,2823.16,2020-04-20,2823.16
386,4/21/2020,2736.56,2020-04-21,2736.56
387,4/22/2020,2799.31,2020-04-22,2799.31
388,4/23/2020,2797.8,2020-04-23,2797.8
389,4/24/2020,2836.74,2020-04-24,2836.74
390,4/27/2020,2878.48,2020-04-27,2878.48
391,4/28/2020,2863.39,2020-04-28,2863.39
392,4/29/2020,2939.51,2020-04-29,2939.51
393,4/30/2020,2912.43,2020-04-30,2912.43
394,5/1/2020,2830.71,2020-05-01,2830.71
395,5/4/2020,2842.74,2020-05-04,2842.74
396,5/5/2020,2868.44,2020-05-05,2868.44
397,5/6/2020,2848.42,2020-05-06,2848.42
398,5/7/2020,2881.19,2020-05-07,2881.19
399,5/8/2020,2929.8,2020-05-08,2929.8
400,5/11/2020,2930.32,2020-05-11,2930.32
401,5/12/2020,2870.12,2020-05-12,2870.12
402,5/13/2020,2820.0,2020-05-13,2820.0
403,5/14/2020,2852.5,2020-05-14,2852.5
404,5/15/2020,2863.7,2020-05-15,2863.7
405,5/18/2020,2953.91,2020-05-18,2953.91
406,5/19/2020,2922.94,2020-05-19,2922.94
407,5/20/2020,2971.61,2020-05-20,2971.61
408,5/21/2020,2948.51,2020-05-21,2948.51
409,5/22/2020,2955.45,2020-05-22,2955.45
410,5/25/2020,,2020-05-25,
411,5/26/2020,2991.77,2020-05-26,2991.77
412,5/27/2020,3036.13,2020-05-27,3036.13
413,5/28/2020,3029.73,2020-05-28,3029.73
414,5/29/2020,3044.31,2020-05-29,3044.31
415,6/1/2020,3055.73,2020-06-01,3055.73
416,6/2/2020,3080.82,2020-06-02,3080.82
417,6/3/2020,3122.87,2020-06-03,3122.87
418,6/4/2020,3112.35,2020-06-04,3112.35
419,6/5/2020,3193.93,2020-06-05,3193.93
420,6/8/2020,3232.39,2020-06-08,3232.39
421,6/9/2020,3207.18,2020-06-09,3207.18
422,6/10/2020,3190.14,2020-06-10,3190.14
423,6/11/2020,3002.1,2020-06-11,3002.1
424,6/12/2020,3041.31,2020-06-12,3041.31
425,6/15/2020,3066.59,2020-06-15,3066.59
426,6/16/2020,3124.74,2020-06-16,3124.74
427,6/17/2020,3113.49,2020-06-17,3113.49
428,6/18/2020,3115.34,2020-06-18,3115.34
429,6/19/2020,3097.74,2020-06-19,3097.74
430,6/22/2020,3117.86,2020-06-22,3117.86
431,6/23/2020,3131.29,2020-06-23,3131.29
432,6/24/2020,3050.33,2020-06-24,3050.33
433,6/25/2020,3083.76,2020-06-25,3083.76
434,6/26/2020,3009.05,2020-06-26,3009.05
435,6/29/2020,3053.24,2020-06-29,3053.24
436,6/30/2020,3100.29,2020-06-30,3100.29
437,7/1/2020,3115.86,2020-07-01,3115.86
438,7/2/2020,3130.01,2020-07-02,3130.01
439,7/3/2020,,2020-07-03,
440,7/6/2020,3179.72,2020-07-06,3179.72
441,7/7/2020,3145.32,2020-07-07,3145.32
442,7/8/2020,3169.94,2020-07-08,3169.94
443,7/9/2020,3152.05,2020-07-09,3152.05
444,7/10/2020,3185.04,2020-07-10,3185.04
445,7/13/2020,3155.22,2020-07-13,3155.22
446,7/14/2020,3197.52,2020-07-14,3197.52
447,7/15/2020,3226.56,2020-07-15,3226.56
448,7/16/2020,3215.57,2020-07-16,3215.57
449,7/17/2020,3224.73,2020-07-17,3224.73
450,7/20/2020,3251.84,2020-07-20,3251.84
451,7/21/2020,3257.3,2020-07-21,3257.3
452,7/22/2020,3276.02,2020-07-22,3276.02
453,7/23/2020,3235.66,2020-07-23,3235.66
454,7/24/2020,3215.63,2020-07-24,3215.63
455,7/27/2020,3239.41,2020-07-27,3239.41
456,7/28/2020,3218.44,2020-07-28,3218.44
457,7/29/2020,3258.44,2020-07-29,3258.44
458,7/30/2020,3246.22,2020-07-30,3246.22
459,7/31/2020,3271.12,2020-07-31,3271.12
460,8/3/2020,3294.61,2020-08-03,3294.61
461,8/4/2020,3306.51,2020-08-04,3306.51
462,8/5/2020,3327.77,2020-08-05,3327.77
463,8/6/2020,3349.16,2020-08-06,3349.16
464,8/7/2020,3351.28,2020-08-07,3351.28
465,8/10/2020,3360.47,2020-08-10,3360.47
466,8/11/2020,3333.69,2020-08-11,3333.69
467,8/12/2020,3380.35,2020-08-12,3380.35
468,8/13/2020,3373.43,2020-08-13,3373.43
469,8/14/2020,3372.85,2020-08-14,3372.85
470,8/17/2020,3381.99,2020-08-17,3381.99
471,8/18/2020,3389.78,2020-08-18,3389.78
